"","respondent_id","h1n1_knowledge","behavioral_antiviral_meds","behavioral_avoidance","behavioral_face_mask","behavioral_large_gatherings","behavioral_outside_home","doctor_recc_seasonal","child_under_6_months","health_worker","opinion_seas_vacc_effective","opinion_seas_risk","employment_industry_atmlpfrs","employment_industry_cfqqtusy","employment_industry_dotnnunm","employment_industry_haxffmxo","employment_industry_mfikgejo","employment_occupation_xgwztkwe"
"1",0,0,0,0,0,0,1,0,0,0,0.25,0,0,0,0,0,0,0
"2",1,1,0,1,0,0,1,0,0,0,0.75,0.25,0,0,0,0,0,1
"3",2,0.5,0,1,0,0,0,0.00129664975259482,0,0,0.75,0,0,0,0,0,0,0
"4",3,0.5,0,1,0,1,0,1,0,0,1,0.75,0,0,0,0,0,0
"5",4,0.5,0,1,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0
"6",5,0.5,0,1,0,0,0,1,0,0,1,0.75,0,0,0,0,0,0
"7",6,0,0,0,0,0,0,0,0,0,0.75,0.25,0,0,0,0,0,0
"8",7,0,0,1,0,0,0,0,0,0,0.75,0.25,0,0,0,0,0,0
"9",8,1,0,1,0,1,1,0,0,0,0.75,0.25,0,0,0,0,0,0
"10",9,0.5,0,1,0,1,0,0,0,0,0.75,0.25,0,0,0,0,0,0
"11",10,0.5,0,1,0,1,0,0,1,0,1,0.75,0,0,0,0,0,0
"12",11,1,0,1,0,0,0,0,0,0,0.75,0.25,0,0,0,0,0,0
"13",12,0.5,0,1,0,1,0,1,0,0,1,0.75,0,0,0,0,0,0
"14",13,0.5,0,1,0,0,0,0,1,0,0.75,0.25,0,0,0,0,0,0
"15",14,0.5,0,1,0,0,1,0,0,0,0.75,0.75,0,0,0,0,0,0
"16",15,0.5,0,1,0,0,0,1,0,0,0.25,0,0,0,0,0,0,0
"17",16,0.5,0,1,0,1,1,1,0,0,0.75,0.75,0,0,0,0,0,0
"18",17,0.5,0,0,0,1,0,1,0,0,0.75,0.25,0,0,0,0,0,0
"19",18,1,0,1,0,0,0,1,0,0,1,0.75,0,0,0,0,0,1
"20",19,1,0,0,0,0,1,0,0,0,1,0.25,0,0,0,0,0,0
"21",20,0.5,0,1,1,1,1,1,0,0,0.75,0.25,0,0,0,0,0,0
"22",21,1,0,1,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0
"23",22,0.5,0,1,0,0,0,1,0,0,0.75,0,0,0,0,0,0,0
"24",23,0,1,0,0,1,1,0,0,0,0.75,0.75,0,0,0,0,0,0
"25",24,0.5,0,1,0,1,1,1,0,0,0,0.25,0,0,0,0,0,0
"26",25,1,0,1,0,0,0,0,0,0,0.25,0.75,0,0,0,0,0,0
"27",26,0.5,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
"28",27,1,0,1,0,1,1,0,0,0,0.25,0.25,0,0,0,0,0,0
"29",28,0.5,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0
"30",29,0.5,0,0,0,1,0,1,0,0,0.75,0,0,0,0,0,0,0
"31",30,1,0,1,0,1,1,1,0,0,0.75,0.25,0,0,0,0,0,0
"32",31,0.5,0,1,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0
"33",32,1,0,1,0,0,0,0,0,0,0.75,0.25,0,0,0,0,0,0
"34",33,0.5,0,1,0,0,0,1,0,0,1,0.25,0,0,0,0,0,0
"35",34,0.5,0,1,0,0,0,0,1,0,0.75,0.25,0,0,0,0,0,0
"36",35,0.5,1,1,1,1,1,1,0,0,1,0.25,0,0,0,0,0,0
"37",36,1,0,1,0,0,0,1,0,0,0.75,0.25,0,0,0,0,0,1
"38",37,0.5,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0
"39",38,0.5,0,1,0,0,0,1,0,0,0.5,0.25,0,0,0,0,0,0
"40",39,0.5,0,1,0,0,0,0,0,0,1,0.75,0,0,0,0,0,1
"41",40,1,0,0,0,0,0,0,0,0,1,0.25,0,0,0,0,0,0
"42",41,0.5,0,1,0,0,1,0,1,1,0.75,0.75,0,0,0,0,0,0
"43",42,0,0,0.0149411985127731,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
"44",43,0.5,1,1,0,1,0,1,0,0,0,0.75,0,0,0,0,0,0
"45",44,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
"46",45,0.5,1,1,0,0,0,0,0,0,0.75,0.75,0,0,0,0,0,0
"47",46,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"48",47,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"49",48,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0
"50",49,0.5,0,0,0,1,0,0,0,0,1,0.75,0,0,0,0,0,0
"51",50,1,0,1,0,0,0,0,0,1,0.75,0.25,0,0,0,0,0,0
"52",51,0.5,0,1,0,0,0,0,0,0,1,0.75,0,0,0,0,0,0
"53",52,0.5,0,1,0,1,1,0,0,0,0.75,0.25,0,0,0,0,0,0
"54",53,1,0,0,0,0,0,0,0,1,0.75,0.25,0,0,0,0,0,0
"55",54,0.5,0,1,0,1,1,0,0,0,0.75,0.75,0,0,0,0,0,0
"56",55,0.5,0,1,0,0,0,0,0,0,0.75,0.25,0,0,0,0,0,0
"57",56,0.5,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0
"58",57,0.5,0,1,1,0,0,0,0,0,0.75,0.75,0,0,0,0,0,0
"59",58,1,0,1,0,0,0,1,0,0,0.75,0.25,0,0,0,0,0,0
"60",59,0.5,0,1,0,1,1,1,0,0,0.75,0,0,0,0,0,0,0
"61",60,1,0,1,0,1,1,1,0,1,0.75,0.75,0,0,0,0,0,0
"62",61,1,0,1,0,1,1,0,0,0,0.5,1,0,0,0,0,0,0
"63",62,0.5,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
"64",63,0.5,0,1,0,1,0,1,0,0,0.75,0.75,0,0,0,0,0,0
"65",64,0,0,0,0,0,0,0,0.0403137761551583,3.24409956710266e-06,0.5,0.160861756964057,0,0,0,0,0,0
"66",65,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
"67",66,0.5,0,0,0,0,0,0,1,0,0.75,0.25,0,0,0,0,0,0
"68",67,1,0,0,0,0,0,1,0,0,0.75,0.75,0,0,0,0,0,0
"69",68,0.5,0,0,0,0,0,1,0,0,0.75,0.75,0,0,0,0,0,0
"70",69,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"71",70,0.5,1,1,0,0,0,0,0,0,1,0.25,0,0,0,0,0,0
"72",71,0.5,0,0,0,1,1,1,0,0,1,0.75,0,0,0,0,0,0
"73",72,0.5,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0
"74",73,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"75",74,0.5,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0
"76",75,0.5,0,1,0,1,1,1,0,0,1,0.75,0,0,0,0,0,0
"77",76,0.5,0,0.0361199446707368,0,0,0,0.00745216282918782,0,0,1,0.75,0,0,0,0,0,0
"78",77,0.5,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0
"79",78,0.5,0,0,0,0,0,0,0,0,1,0.25,0,0,0,0,0,0
"80",79,0.5,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0
"81",80,0.5,0,1,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0
"82",81,0.5,0,1,0,0,1,0,0,0,1,0.25,0,0,0,0,0,0
"83",82,1,0,1,0,1,1,0,0,1,1,0.75,0,0,0,0,0,0
"84",83,0.5,0,1,0,1,1,1,0,0,0.75,0.75,0,0,0,0,0,0
"85",84,1,0,0,1,0,0,0,0,1,1,0.75,0,0,0,0,0,0
"86",85,0.5,0,1,0,1,1,0,1,1,1,0.75,0,0,0,0,0,0
"87",86,1,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0
"88",87,0.5,0,1,0,1,1,0,1,0,0.75,0.75,0,0,0,0,0,0
"89",88,0,0,1,0,1,1,1,0,0,0.75,0,0,0,0,0,0,0
"90",89,0.5,0,0,0,0,0,0,0,0,0.75,0.25,0,0,0,0,0,0
"91",90,0.5,0,1,0,0,0,0.000704884475249117,0,1,0.5,0.25,0,0,0,0,0,0
"92",91,1,1,1,0,1,1,1,0,0,1,0.75,0,0,0,0,0,0
"93",92,0.5,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0
"94",93,0.5,0,0,0,0,0,0,0,0,1,0.75,0,0,0,0,0,0
"95",94,0,1,0,0,0,1,0.00017046920754587,0,0,1,1,0,0,0,0,0,0
"96",95,1,0,1,0,1,0,1,0,0,1,0.25,0,0,0,0,0,0
"97",96,0.5,0,1,0,0,0.000132742630985952,1,0,0,1,1,0,0,0,0,0,0
"98",97,1,0,1,0,0,0,0.00408724779171048,0,0,1,0.75,0,0,0,0,0,0
"99",98,0.5,0,0,0,0,0,0,1,1,0.25,0.25,0,0,0,0,0,0
"100",99,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"101",100,0.5,0,1,0,0,1,1,0,0,0.25,0.5,0,0,0,0,0,0
"102",101,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0
"103",102,1,0,1,0,0,0,0.00154060905461276,0,0,1,0.25,0,0,0,0,0,0
"104",103,0.5,0,1,0,0,0,1,0,0,0.75,0,0,0,0,0,0,0
"105",104,0,0,1,0,1,1,0,0,0,0.25,0.5,0,0,0,0,0,0
"106",105,0.5,0,0,0,0,0,0,0.0267126528350767,0.000108673815736319,1,0.25,0,0,0,0,0,0
"107",106,1,0,1,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0
"108",107,0.5,0,1,0,0,0,0,0,0,1,0.75,0,0,0,0,0,0
"109",108,1,0,1,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0
"110",109,0.5,1,1,0,1,1,1,0,0,0.75,0,0,0,0,0,0,0
"111",110,1,0,1,0,0,0,1,1,0,1,0.75,0,0,0,0,0,0
"112",111,0.5,0,1,0,1,1,0,0,0,0.75,0.25,0,0,0,0,0,0
"113",112,1,0,1,0,0,0,1,0,0,1,0.75,0,0,0,0,0,0
"114",113,0.5,0,1,0,1,1,0,1,0,1,0.75,0,0,0,0,0,0
"115",114,0.5,0,1,0,0,0,0,0,1,0.75,0.25,0,0,0,0,0,0
