"","respondent_id","h1n1_knowledge","behavioral_antiviral_meds","behavioral_avoidance","behavioral_face_mask","behavioral_large_gatherings","behavioral_outside_home","doctor_recc_seasonal","child_under_6_months","health_worker","opinion_seas_vacc_effective","opinion_seas_risk","employment_industry_atmlpfrs","employment_industry_cfqqtusy","employment_industry_dotnnunm","employment_industry_haxffmxo","employment_industry_mfikgejo","employment_occupation_xgwztkwe"
"1",26707,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
"2",26708,0.5,0,0,0,0,0,0,0,0,0.75,0,1,0,0,0,0,0
"3",26709,1,0,0,1,1,1,0,0,0,1,0.75,0,0,0,0,0,0
"4",26710,0.5,0,0,0,0,0,1,0,0,0.75,0.75,0,0,0,0,0,0
"5",26711,0.5,1,1,0,1,1,0,0,1,0.75,0.75,0,0,0,0,0,0
"6",26712,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0
"7",26713,1,0,1,0,1,0,1,0,0,0.5,0,0,0,0,0,0,0
"8",26714,0.5,0,1,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0
"9",26715,0.5,0,1,0,1,1,0,0,0,0.5,0,0,0,0,0,0,0
"10",26716,1,0,0,0,0,0,0,0,0,1,0.75,0,0,0,0,0,0
"11",26717,0.5,0,1,0,0,0,0,1,0,1,0.25,0,0,0,0,0,1
"12",26718,1,0,1,0,0,0,0,0,0,0.75,0.75,0,0,0,0,0,0
"13",26719,0.5,0,1,0,0,1,1,0,1,1,0.25,0,0,0,0,0,0
"14",26720,0.5,0,1,0,0,0,0,0,0,1,0.25,0,0,0,0,1,0
"15",26721,1,1,0,0,0,0,1,0,0,1,0.25,0,0,0,0,0,0
"16",26722,0.5,0,1,0,0,1,0,0,0,0.25,0.25,0,0,0,0,0,0
"17",26723,0,0,1,0,1,0,1,0,0,1,0.25,0,0,0,0,0,0
"18",26724,0.5,0,1,0,0,1,0.00209477938919151,0,0,1,0.25,0,0,0,0,0,0
"19",26725,0.5,0,1,0,0,0,0.000398460461418166,0,0,0.75,0,0,0,0,0,0,1
"20",26726,0.5,1,1,0,1,1,0,0,0,0.5,0,0,0,0,0,0,0
"21",26727,0.5,1,1,0,0,1,0,0,0,1,0.75,0,0,0,0,0,0
"22",26728,0.5,0,0,0,0,0,0,0,0,0.75,0.75,0,0,0,0,1,0
"23",26729,0.5,0,1,0,0,1,0,0,0,0.75,0.25,0,0,0,1,0,0
"24",26730,0.5,0,1,0,0,1,0,0,0,0.75,0.25,0,0,0,0,0,0
"25",26731,0,0,0,0,0,0,0,1,0,0.75,0,0,0,0,0,0,0
"26",26732,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"27",26733,1,0,1,0,0,0,1,0,1,1,0.75,0,0,0,0,0,0
"28",26734,0.5,0,0,0,0,0,0,0,1,0.75,0.75,0,0,0,0,0,0
"29",26735,1,0,1,0,0,0,0,0,0,0.75,0.75,0,0,0,0,0,0
"30",26736,0.5,0,1,0,0,0,0,0,0,0.75,0.25,0,0,0,0,0,0
"31",26737,1,0,1,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0
"32",26738,0.5,0,0,0,1,0,1,1,0,0.75,1,0,0,0,0,0,0
"33",26739,0.5,0,1,0,0,0,0,0,0,0.75,0.25,0,0,0,0,0,0
"34",26740,0.5,0,0,0,0,0,0,0,0,0.75,0,0,1,0,0,0,0
"35",26741,0.5,0,1,0,0,0,1,0,0,1,0.75,0,0,0,0,0,0
"36",26742,1,0,1,0,0,0,0,0,0,0.75,0.25,0,0,0,0,0,0
"37",26743,0.5,0,1,0,1,0,0,0,0,0.75,0.25,0,0,0,0,0,0
"38",26744,1,0,1,0,1,1,0,0,0,1,0.75,0,0,0,0,0,0
"39",26745,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
"40",26746,1,0,1,0,0,1,0,0.00887483534170473,1.65843525153336e-05,0.141462467900912,0.00482718353633938,0,0,0,0,0,0
